City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint-Ambroise,90,FR,1553230627,100,47.25,-0.65,41.0,4.7
Coihaique,90,CL,1553227200,76,-45.58,-72.07,53.6,4.7
Redmond,20,US,1553230634,71,47.67,-122.12,52.0,4.7
Petropavlovsk-Kamchatskiy,32,RU,1553227200,67,53.05,158.65,23.0,6.71
Male,88,UA,1553230640,88,50.74,33.7,37.39,11.99
Noumea,0,NC,1553229000,48,-22.28,166.46,87.8,5.82
Bay Roberts,90,CA,1553230555,63,47.58,-53.28,30.0,11.41
Codrington,75,AU,1553227200,69,-28.95,153.24,84.2,11.41
Basqal,90,AZ,1553227200,87,40.75,48.39,44.6,1.7
Aksha,68,RU,1553230641,29,50.28,113.29,27.58,13.67
Baiyin,20,CN,1553227200,32,36.55,104.13,41.0,4.47
Pangkalanbuun,36,ID,1553230641,81,-2.68,111.62,89.5,5.5
Honningsvag,20,NO,1553226600,89,70.98,25.97,32.0,21.92
Agirish,0,RU,1553230641,69,61.92,63.02,34.33,3.6
Taos,92,US,1553229978,97,36.41,-105.57,39.0,3.6
Saint Anthony,1,US,1553230535,69,43.97,-111.68,42.01,3.36
Charleston,90,US,1553230345,87,38.35,-81.63,46.99,9.17
Itarema,88,BR,1553230642,99,-2.92,-39.92,74.11,2.93
Jutai,92,BR,1553230642,97,-1.71,-47.89,73.84,2.37
Pangoa,92,PE,1553230643,98,-12.12,-73.0,64.84,1.92
San Ignacio,0,CL,1553227200,87,-36.8,-72.03,55.4,5.82
Russell,0,AR,1553227200,51,-33.01,-68.8,62.6,0.81
Buenavista,40,CO,1553227200,100,4.36,-75.74,66.2,5.82
Yerbogachen,92,RU,1553230644,73,61.28,108.01,25.42,11.21
Vilhena,88,BR,1553230644,92,-12.74,-60.15,72.31,2.59
Port Macquarie,44,AU,1553230505,61,-31.43,152.91,81.0,10.29
Biscarrosse,90,FR,1553230561,93,44.41,-1.18,39.2,4.94
Ahipara,56,NZ,1553230645,69,-35.17,173.16,73.3,5.39
Bitung,40,ID,1553229000,70,1.44,125.19,87.8,11.41
Anadyr,0,RU,1553230396,76,64.73,177.51,-11.01,13.42
Camacha,75,PT,1553227200,59,33.08,-16.33,60.8,17.22
Sabang,76,PH,1553230646,75,13.72,123.58,82.66,6.96
Waitati,44,NZ,1553230646,87,-45.75,170.57,64.66,2.71
Adrar,0,DZ,1553227200,43,27.87,-0.29,51.8,10.29
Bilibino,0,RU,1553230646,60,68.06,166.44,0.49,2.37
Devonport,32,AU,1553230324,70,-41.18,146.36,73.99,8.01
Saldanha,0,PT,1553230647,82,41.42,-6.55,26.23,3.04
Kirakira,0,SB,1553230647,100,-10.46,161.92,84.82,7.63
Shelton,1,US,1553230643,87,47.22,-123.1,51.8,8.05
Masvingo,92,ZW,1553230647,96,-20.08,30.83,64.57,4.83
Lander,40,US,1553230016,66,42.83,-108.73,44.6,9.17
Metro,56,ID,1553230648,89,-5.11,105.31,84.55,4.05
Urubicha,64,BO,1553230648,83,-15.63,-63.08,68.98,2.71
Hualmay,32,PE,1553230648,93,-11.1,-77.61,66.1,3.83
Bandarbeyla,8,SO,1553230649,100,9.49,50.81,77.89,6.29
Maun,0,BW,1553227200,44,-19.99,23.42,77.0,9.17
Tandur,0,IN,1553230649,54,19.18,79.43,89.41,4.83
Pavlohrad,0,UA,1553229000,80,48.53,35.87,33.8,4.47
Kuytun,20,RU,1553230649,58,54.34,101.51,34.96,4.27
Chitrakonda,0,IN,1553230650,40,18.12,82.08,88.87,3.04
Aykhal,68,RU,1553230650,80,65.95,111.51,21.28,10.2
Dehloran,0,IR,1553230650,35,32.69,47.27,63.4,4.5
Krasnoarmeysk,40,RU,1553229650,86,56.12,38.15,36.0,8.95
Shimoda,75,JP,1553229773,60,34.7,138.93,69.8,11.41
Bambous Virieux,40,MU,1553230441,74,-20.34,57.76,84.2,9.17
Iracoubo,32,GF,1553230651,93,5.48,-53.21,74.56,3.71
Qandala,0,SO,1553230651,41,11.47,49.87,82.03,3.15
Hit,44,IQ,1553230651,36,33.64,42.83,62.68,4.38
Nimaparha,0,IN,1553229000,79,20.07,86.02,87.8,5.82
Khuzhir,24,RU,1553230652,70,53.19,107.35,26.59,4.38
Dovolnoye,24,RU,1553230652,100,54.5,79.67,27.67,10.76
Les Cayes,24,HT,1553230652,100,18.19,-73.75,76.09,7.85
Orsha,90,BY,1553227200,93,54.51,30.43,41.0,13.42
Lakselv,68,NO,1553230507,68,70.05,24.96,32.0,29.97
Nampula,40,MZ,1553227200,94,-15.12,39.26,73.4,5.82
Okha,48,RU,1553230653,86,53.59,142.95,10.39,9.53
Galle,1,US,1553230643,62,29.74,-97.91,64.99,3.36
Fare,32,PF,1553230653,100,-16.7,-151.02,82.93,8.75
Barretos,32,BR,1553230654,97,-20.55,-48.57,67.36,9.19
Clarence Town,40,AU,1553230237,69,-32.59,151.78,82.0,11.41
Sao Joao da Barra,80,BR,1553230613,100,-21.64,-41.05,78.34,20.04
Xam Nua,0,LA,1553230654,35,20.42,104.04,85.27,3.38
Poltavka,44,RU,1553230654,100,54.36,71.76,31.72,4.27
Chervishevo,75,RU,1553227200,86,56.95,65.43,33.8,4.47
Simnas,0,LT,1553230655,82,54.38,23.65,37.21,17.47
Codajas,24,BR,1553230655,93,-3.84,-62.06,76.36,2.82
Kulhudhuffushi,0,MV,1553230655,98,6.62,73.07,84.73,11.77
Tommot,8,RU,1553230656,53,58.97,126.27,11.56,3.71
Ballina,92,IE,1553230623,89,54.11,-9.15,52.0,17.0
Teguldet,44,RU,1553230656,69,57.31,88.17,33.43,9.31
Hamilton,90,CA,1553230504,99,43.26,-79.87,41.0,8.05
Marsa Matruh,40,EG,1553227200,82,31.35,27.25,57.2,4.7
Nara,75,JP,1553230597,54,34.68,135.8,55.99,17.22
Launceston,75,AU,1553230537,49,-41.43,147.14,75.99,3.36
Minab,92,IR,1553229000,83,27.15,57.07,71.6,3.71
Walvis Bay,90,NA,1553227328,87,-22.95,14.51,61.0,10.29
Kintampo,44,GH,1553230658,95,8.05,-1.73,69.79,6.4
Mwingi,32,KE,1553230658,77,-0.93,38.07,72.58,4.38
Wuwei,0,CN,1553230658,52,37.93,102.64,39.91,5.5
Gusau,44,NG,1553230543,77,12.17,6.66,73.39,8.63
Port-Gentil,88,GA,1553230658,100,-0.72,8.78,79.06,7.74
Muisne,44,EC,1553230659,96,0.61,-80.02,69.79,2.48
Melo,44,UY,1553230659,85,-32.37,-54.17,50.89,3.6
Macedonia,90,US,1553230576,86,41.31,-81.51,39.0,10.29
Atambua,36,ID,1553230659,92,-9.11,124.89,84.64,9.64
San Matias,75,HN,1553227200,68,13.97,-86.63,68.0,13.87
Felanitx,20,ES,1553230581,100,39.47,3.15,55.99,9.17
Porto Walter,48,BR,1553230660,95,-8.27,-72.74,74.29,2.15
Natal,20,BR,1553227200,88,-5.81,-35.21,78.8,4.7
Severo-Kurilsk,88,RU,1553230660,100,50.68,156.12,26.59,27.87
Katangli,80,RU,1553230660,95,51.71,143.23,14.08,16.13
Broome,0,GB,1553230657,100,52.47,1.45,51.01,8.05
Sept-Iles,90,CA,1553229967,86,50.2,-66.38,30.2,5.82
Nouadhibou,75,MR,1553227200,88,20.93,-17.03,64.4,11.41
Rio Gallegos,75,AR,1553227200,87,-51.62,-69.22,51.8,6.93
Aleksandrov Gay,92,RU,1553230662,100,50.14,48.57,34.42,4.16
Darhan,0,MN,1553230662,44,49.49,105.92,28.66,5.84
Kidal,36,ML,1553230662,17,18.44,1.41,60.52,10.65
Limbang,75,BN,1553227200,52,4.75,115.01,93.2,6.93
Vanimo,36,PG,1553230662,99,-2.67,141.3,82.75,18.7
San Juan,20,PR,1553230554,69,18.47,-66.12,77.0,10.42
Hami,0,CN,1553230664,47,42.84,93.51,52.96,3.38
Chimoio,75,MZ,1553227200,100,-19.11,33.48,69.8,6.93
Socorro,0,PH,1553229018,73,13.06,121.41,84.99,3.0
Rognan,40,NO,1553230548,69,67.1,15.4,37.0,18.34
Plettenberg Bay,0,ZA,1553230665,100,-34.05,23.37,63.4,2.37
Tarm,80,DK,1553230624,100,55.91,8.53,44.01,2.24
Northam,36,GB,1553230632,87,51.04,-4.21,48.99,6.93
Barahona,0,DO,1553230666,100,18.21,-71.1,77.44,5.73
Kaz,0,RU,1553230666,55,53.11,87.55,46.48,3.6
Tiruchchendur,40,IN,1553227200,55,8.48,78.12,89.6,6.93
Richards Bay,92,ZA,1553230666,100,-28.77,32.06,68.71,5.28
Togur,76,RU,1553230666,84,58.36,82.83,29.83,8.75
Montepuez,24,MZ,1553230667,100,-13.13,39.0,75.73,4.5
Bima,76,ID,1553230667,81,-8.45,118.73,83.83,7.18
Tucurui,80,BR,1553230564,96,-3.77,-49.67,74.83,3.27
Hasaki,75,JP,1553230233,46,35.73,140.83,73.0,5.82
Dongsheng,92,CN,1553230668,99,29.72,112.52,46.66,15.01
Ouesso,76,CG,1553230668,97,1.61,16.05,71.86,3.94
Tomorkeny,0,HU,1553230512,75,46.62,20.04,36.0,2.24
Mastic Beach,90,US,1553230653,93,40.77,-72.85,48.2,6.93
Port Lincoln,88,AU,1553230668,79,-34.72,135.86,71.59,4.83
Padang,20,ID,1553227200,66,-0.92,100.36,87.8,4.7
Kyzyl-Suu,24,KG,1553230669,99,42.34,78.0,38.56,1.14
Rantepao,32,ID,1553230532,85,-2.97,119.9,79.06,2.93
Chenzhou,76,CN,1553230669,97,25.81,113.03,53.77,6.17
Araouane,20,ML,1553230669,24,18.9,-3.53,58.36,8.41
Pak Thong Chai,0,TH,1553227200,44,14.73,102.02,95.0,9.17
Shenjiamen,36,CN,1553230670,96,29.96,122.3,50.53,21.5
Aneho,75,TG,1553227200,88,6.23,1.6,75.2,16.11
Sindor,76,RU,1553230670,89,62.87,51.9,30.91,6.96
San Cristobal,75,EC,1553229912,93,-0.39,-78.55,57.2,2.37
Mahon,75,IE,1553230264,100,51.89,-8.4,48.99,19.46
Ulaanbaatar,75,MN,1553229000,41,47.92,106.92,23.0,20.13
Tera,0,CY,1553229000,71,34.97,32.42,53.6,6.93
Port Townsend,1,US,1553230664,87,48.12,-122.76,51.8,3.36
Batagay-Alyta,0,RU,1553230672,79,67.8,130.41,4.36,4.05
Saint-Leu,0,RE,1553230512,62,-21.15,55.28,86.0,16.11
Fuerte Olimpo,8,BR,1553230672,91,-21.04,-57.87,68.26,9.42
Ambilobe,32,MG,1553230672,100,-13.19,49.05,80.95,4.05
Nasriganj,0,IN,1553230673,60,25.05,84.33,87.16,5.17
Kysyl-Syr,12,RU,1553230673,60,63.9,122.77,16.6,8.97
Veraval,90,FR,1553230664,100,49.65,0.71,45.0,2.24
Kawalu,76,ID,1553230673,97,-7.38,108.21,73.66,2.71
Bonthe,100,SL,1553230674,88,7.53,-12.5,80.23,4.61
Karasburg,0,NA,1553230674,33,-28.01,18.75,60.43,8.08
Nisia Floresta,20,BR,1553227200,88,-6.09,-35.21,78.8,4.7
Bankura,0,IN,1553230518,31,23.24,87.07,89.6,6.93
Madang,80,PG,1553230675,100,-5.21,145.81,77.89,3.71
Taft,92,PH,1553230675,96,11.9,125.42,78.34,7.52
Tecoanapa,40,MX,1553226420,83,16.99,-99.26,78.8,4.7
Ancud,90,CL,1553227200,100,-41.87,-73.83,53.6,4.7
Myanaung,0,MM,1553230675,43,18.28,95.32,95.26,6.29
Lasa,0,CY,1553229000,71,34.92,32.53,53.6,6.93
Chumikan,0,RU,1553230676,55,54.72,135.31,14.62,2.93
Peniche,0,PT,1553230541,57,39.36,-9.38,53.01,4.7
Vilyuysk,20,RU,1553230676,65,63.75,121.63,19.75,9.08
Palmer,90,US,1553230621,87,61.6,-149.11,41.0,3.6
Kerema,32,PG,1553230677,67,-7.96,145.78,87.07,3.71
Fairbanks,1,US,1553230502,36,64.84,-147.72,48.2,6.93
Sarakhs,90,TM,1553227200,100,36.54,61.16,48.2,6.93
Puerto Colombia,20,CO,1553227200,78,10.99,-74.96,78.8,13.87
Rosario,24,UY,1553229968,81,-34.31,-57.35,54.0,1.99
Port Angeles,75,US,1553230664,87,48.12,-123.43,53.6,9.17
Evensk,76,RU,1553230678,99,61.92,159.24,23.08,14.79
South Lake Tahoe,1,US,1553230576,69,38.93,-119.98,42.8,9.17
Greenville,1,US,1553230562,49,34.85,-82.4,48.99,21.92
Swan River,0,CA,1553230679,70,52.11,-101.27,20.38,3.38
Baykit,80,RU,1553230679,81,61.68,96.39,28.21,10.2
Nassau,0,DE,1553230655,93,51.17,13.51,39.2,4.7
Bontang,0,ID,1553230680,96,0.12,117.47,84.1,5.61
Half Moon Bay,90,US,1553230664,93,37.46,-122.43,55.4,2.93
Dunedin,44,NZ,1553230680,87,-45.87,170.5,64.66,2.71
Yenagoa,88,NG,1553230681,89,4.92,6.26,77.98,4.16
Kloulklubed,75,PW,1553226600,62,7.04,134.26,86.0,11.41
Tananger,0,NO,1553230502,91,58.94,5.59,41.0,5.82
Port Antonio,40,JM,1553227200,69,18.18,-76.45,78.8,3.36
Xiongzhou,20,CN,1553230673,53,32.34,118.83,62.01,8.95
Semirara,0,PH,1553230682,92,12.07,121.4,82.3,19.04
Jarocin,75,PL,1553230680,100,51.97,17.5,48.0,6.93
Khalkhal,0,IR,1553230682,79,37.62,48.53,39.55,2.15
Enshi,92,CN,1553230682,100,30.29,109.48,43.15,3.27
Klyuchi,0,RU,1553230683,69,52.25,79.17,33.61,10.65
Abu Dhabi,56,AE,1553227200,60,24.47,54.37,73.4,6.93
Zhezkazgan,90,KZ,1553229000,92,47.8,67.71,30.2,8.95
Lincoln,0,GB,1553230578,87,53.23,-0.54,52.0,12.75
Riachao das Neves,20,BR,1553230683,94,-11.75,-44.91,67.36,2.93
Broken Hill,12,AU,1553227200,11,-31.97,141.45,98.6,13.87
Rabo de Peixe,75,PT,1553230647,87,37.8,-25.58,57.2,3.6
Avera,40,US,1553230580,53,33.19,-82.53,55.4,8.05
Cayenne,20,GF,1553229000,88,4.94,-52.33,77.0,7.18
Nizhniy Odes,88,RU,1553230685,82,63.64,54.86,31.54,6.17
Chicama,75,PE,1553227200,88,-7.84,-79.15,68.0,9.17
Am Timan,0,TD,1553230685,16,11.04,20.28,78.25,13.22
Jiazi,0,CN,1553227200,55,19.61,110.49,91.4,4.47
Svetlogorsk,40,RU,1553227200,80,53.14,59.15,30.2,4.47
Caravelas,64,BR,1553230686,100,-17.73,-39.27,80.14,17.81
Longonjo,8,AO,1553230686,87,-12.91,15.25,59.08,2.59
Comodoro Rivadavia,0,AR,1553227200,36,-45.87,-67.48,62.6,9.17
Haines Junction,12,CA,1553230686,82,60.75,-137.51,25.24,2.37
Vaitape,56,PF,1553230687,100,-16.52,-151.75,82.3,6.96
Uniontown,90,US,1553230661,93,39.9,-79.72,44.6,11.41
Nuuk,32,GL,1553226600,91,64.17,-51.74,3.2,2.24
Klaksvik,92,FO,1553228400,93,62.23,-6.59,46.4,27.51
Pisco,0,PE,1553227200,82,-13.71,-76.2,68.0,12.75
Meulaboh,12,ID,1553230688,100,4.14,96.13,84.91,3.15
Bereda,0,ES,1553230437,93,43.27,-7.54,52.0,4.7
Jiuquan,0,CN,1553230688,81,39.73,98.49,34.06,5.06
Sivas,0,TR,1553226600,92,39.75,37.01,23.0,5.82
Penal,20,TT,1553230507,83,10.17,-61.45,75.2,5.95
Calabozo,0,VE,1553230689,58,8.92,-67.43,79.51,13.89
Norwalk,20,US,1553230484,81,33.91,-118.08,57.2,2.04
Willowmore,0,ZA,1553230689,85,-33.3,23.49,48.46,2.15
Havre-Saint-Pierre,90,CA,1553227200,86,50.23,-63.6,30.2,4.7
Harrison,90,US,1553230686,77,39.26,-84.82,43.0,3.36
Hopeman,20,GB,1553230505,71,57.71,-3.43,52.0,24.16
Ziro,90,IN,1553229000,88,27.54,93.82,66.2,6.93
Aksarka,0,RU,1553230690,84,66.56,67.8,20.74,5.17
Caruray,20,PH,1553227200,62,10.31,119.01,87.8,6.93
Homer,90,US,1553230488,75,59.64,-151.54,43.0,18.34
Sangar,0,RU,1553230691,48,63.92,127.47,5.71,2.71
Lagos,56,NG,1553230579,95,6.46,3.39,79.15,6.96
San Lazaro,40,BZ,1553226840,65,18.04,-88.66,78.8,11.41
Ati,8,TD,1553230691,23,13.21,18.34,77.35,7.74
Belaya Kholunitsa,64,RU,1553230692,97,58.84,50.85,28.21,8.75
Geraldton,90,CA,1553227200,73,49.72,-86.95,24.8,17.22
Barauna,92,BR,1553230692,95,-14.07,-42.49,67.99,5.61
Verkhnevilyuysk,68,RU,1553230692,58,63.45,120.31,19.21,10.65
Ngaoundere,80,CM,1553230693,59,7.32,13.58,69.97,2.26
Minna,0,NG,1553230693,92,9.62,6.55,71.77,3.71
Ostrovnoy,80,RU,1553230693,86,68.05,39.51,23.98,9.08
Orlik,8,RU,1553230693,65,52.51,99.83,21.64,2.59
Chanute,1,US,1553230320,75,37.68,-95.46,41.0,2.93
Bathsheba,90,BB,1553227200,94,13.22,-59.52,75.2,11.41
Tacna,0,PE,1553227200,68,-18.01,-70.25,66.2,3.36
Bidor,75,MY,1553227200,55,4.11,101.29,89.6,4.7
Ranong,20,TH,1553227200,55,9.96,98.62,91.4,9.17
Bara,0,NG,1553230694,64,10.41,10.6,77.08,10.98
Prince Rupert,1,CA,1553227200,71,54.32,-130.32,50.0,9.17
Katherine,75,AU,1553227200,59,-14.47,132.26,93.2,8.05
Singkang,75,MY,1553227200,59,2.1,102.8,89.6,4.7
Grindavik,90,IS,1553229998,100,63.84,-22.43,36.0,24.16
Vardo,90,US,1553230688,93,39.62,-77.74,42.01,13.87
Tamale,20,GH,1553230696,82,9.4,-0.84,74.92,6.96
Craigieburn,0,AU,1553230684,31,-37.6,144.94,93.0,6.93
Bilma,0,NE,1553230696,21,18.69,12.92,70.78,6.51
Betare Oya,32,CM,1553230696,82,5.6,14.08,71.32,6.17
Cockburn Town,0,TC,1553230515,97,21.46,-71.14,79.06,8.3
Kuito,8,AO,1553230697,83,-12.38,16.94,61.78,2.93
Srednekolymsk,0,RU,1553230697,52,67.46,153.71,4.36,2.59
Son La,0,VN,1553230697,40,21.32,103.9,83.65,2.71
La Ronge,5,CA,1553227200,74,55.1,-105.3,28.4,5.95
Barberton,90,US,1553230509,69,41.01,-81.61,39.99,13.87
Pontes e Lacerda,92,BR,1553230698,96,-15.23,-59.33,69.43,3.38
Smithers,20,CA,1553227200,74,54.78,-127.17,37.4,8.05
Pajacuaran,0,MX,1553230698,52,20.12,-102.57,62.68,5.28
Harper,1,US,1553230682,47,30.3,-99.24,61.0,3.36
Auki,44,NG,1553230698,77,12.18,6.51,73.39,8.63
Kitimat,75,CA,1553227200,66,54.02,-128.69,48.2,3.36
Kainantu,88,PG,1553230699,96,-6.29,145.87,68.44,1.92
Jitra,75,MY,1553227200,63,6.27,100.42,93.2,3.36
Raudeberg,88,NO,1553230503,84,61.99,5.14,42.8,17.22
Zandvoort,90,NL,1553230685,93,52.37,4.53,48.0,2.24
Batemans Bay,88,AU,1553230646,83,-35.71,150.18,73.99,1.99
Pilar,8,AR,1553230501,87,-34.46,-58.91,59.0,7.52
Plyussa,32,RU,1553230701,76,58.42,29.37,33.7,17.02
